,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,thap khlo,TH,16.16,100.5966,73.83,74,3,3.98,clear sky
82,bara,NG,10.3744,10.7288,72.73,21,7,10.36,clear sky
83,luanda,AO,-8.8368,13.2343,77.0,83,75,8.05,broken clouds
84,loukhi,RU,66.0764,33.0381,-1.95,98,42,5.1,scattered clouds
85,avarua,CK,-21.2078,-159.775,84.25,74,75,12.66,broken clouds
86,marawi,PH,7.9986,124.2928,64.65,95,75,0.96,broken clouds
87,almaznyy,RU,48.0448,40.045,32.14,81,100,14.97,light snow
88,clyde river,CA,70.4692,-68.5914,-5.57,77,100,32.21,light snow
89,ornes,NO,66.8689,13.7078,21.31,67,1,6.55,clear sky
90,lavrentiya,RU,65.5833,-171.0,-11.27,83,11,10.96,few clouds
91,amos,CA,48.5669,-78.1162,12.47,80,99,15.41,overcast clouds
92,tubuala,PA,9.5167,-79.0333,86.11,83,75,15.05,broken clouds
93,pevek,RU,69.7008,170.3133,-16.22,100,84,2.77,broken clouds
94,mayrtup,RU,43.2017,46.1333,36.93,82,1,2.37,clear sky
95,kysyl-syr,RU,63.8986,122.7617,-39.3,100,62,2.98,broken clouds
96,busselton,AU,-33.65,115.3333,55.09,79,74,10.29,broken clouds
97,tojsici,BA,44.5011,18.7856,30.72,86,75,1.99,broken clouds
98,yeppoon,AU,-23.1333,150.7333,78.58,67,29,14.61,scattered clouds
99,lakes entrance,AU,-37.8811,147.981,75.58,79,12,4.81,few clouds
100,wanning,CN,18.8003,110.3967,69.19,83,100,2.3,overcast clouds
101,antofagasta,CL,-23.65,-70.4,72.68,77,84,6.11,broken clouds
102,mozarlandia,BR,-14.7447,-50.5706,73.0,97,100,8.84,overcast clouds
103,bambous virieux,MU,-20.3428,57.7575,77.22,88,40,4.61,light rain
104,inhambane,MZ,-23.865,35.3833,75.15,87,77,7.23,broken clouds
105,lasa,IT,46.6166,10.7002,27.36,84,79,5.01,broken clouds
106,orlik,RU,52.5178,99.825,-13.85,82,100,2.24,overcast clouds
107,krasnoselkup,RU,65.7,82.4667,-4.86,98,100,9.13,overcast clouds
108,itarema,BR,-2.9248,-39.9167,80.24,73,100,11.27,overcast clouds
109,norman wells,CA,65.282,-126.8329,-32.76,68,75,5.75,broken clouds
110,taldan,RU,53.6667,124.8,-20.51,95,24,3.27,few clouds
111,felanitx,ES,39.4696,3.1483,59.45,68,98,21.0,overcast clouds
112,airai,TL,-8.9266,125.4092,61.09,89,56,1.05,broken clouds
113,barrow,US,71.2906,-156.7887,-18.38,76,0,3.44,clear sky
114,belmonte,BR,-15.8631,-38.8828,79.3,81,98,8.88,overcast clouds
115,belyy yar,RU,53.6039,91.3903,12.85,88,100,0.0,mist
116,pereslavl-zalesskiy,RU,56.7393,38.8563,19.76,96,100,4.23,snow
117,bredasdorp,ZA,-34.5322,20.0403,69.12,88,100,6.91,overcast clouds
