City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
483,guymon,US,46.47,clear sky,36.6828,-101.4816,Simple Rewards
484,kalmunai,LK,75.7,overcast clouds,7.4167,81.8167,VS Villa
487,minas,UY,83.52,clear sky,-34.3759,-55.2377,Hotel Minas
488,rawson,AR,68.38,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
489,jieshi,CN,60.94,broken clouds,22.8134,115.8257,Yuehai Hotel
490,grand gaube,MU,77.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
491,mao,ES,52.36,clear sky,39.8885,4.2658,ARTIEM Capri
494,marakkanam,IN,74.97,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
495,rincon,US,75.65,broken clouds,32.296,-81.2354,Days Inn Rincon
496,lima,PE,75.13,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
498,palauig,PH,75.7,few clouds,15.435,119.9045,Alperi Botique Resort
499,republic,US,41.47,scattered clouds,37.12,-93.4802,AmericInn by Wyndham Republic
504,grenville,GD,80.65,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
505,salawagan,PH,70.5,overcast clouds,7.7053,125.115,Violeta B. Cardona
506,ahipara,NZ,73.44,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
507,karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
509,ukiah,US,63.37,scattered clouds,39.1502,-123.2078,Hampton Inn Ukiah
510,hualmay,PE,74.44,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
512,pemangkat,ID,76.71,overcast clouds,1.1667,108.9667,Ramah Kost KITA
513,tortosa,ES,67.24,overcast clouds,40.8125,0.5216,Parador de Tortosa
514,santa isabel,BR,66.65,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
515,veraval,IN,61.29,clear sky,20.9,70.3667,Lords Inn Somnath
516,esperance,AU,58.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
517,yenagoa,NG,78.89,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
518,aljezur,PT,50.5,clear sky,37.3191,-8.8033,Amazigh Hostel
521,benjamin hill,MX,70.18,overcast clouds,30.1667,-111.1,Hotel Benjamín Hill
523,souillac,MU,77.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
